email_date	email_subject	rank	company	evaluation	notes
5/29/2026	Daily Market Movers: Global Majors & Industry (29 May 2026)	9	ArriVent Biopharma	12%	29 May: Truist Financial maintains a buy rating raising its target price to $45 from $43.
5/29/2026	Weekly Market Movers: Global Majors & Industry (29 May 2026)	9	ICON	17%	28 May: Company reports Q4'25 results, with full year revenue of $8.251m.
5/29/2026	Daily Market Movers: Global Majors & Industry (29 May 2026)	10	Absci	11%	
5/29/2026	Weekly Market Movers: Global Majors & Industry (29 May 2026)	10	Biohaven	17%	
6/1/2026	Daily Market Movers: Global Majors & Industry (01 Jun 2026)	1	Semnur Pharmaceuticals	46%	
6/1/2026	Weekly Asia Market Movers: Global Majors & Industry (01 Jun 2026)	1	Holy Stone Enterprise	28%	
6/1/2026	Daily Market Movers: Global Majors & Industry (01 Jun 2026)	2	Curasight	25%	
6/1/2026	Weekly Asia Market Movers: Global Majors & Industry (01 Jun 2026)	2	D&amp;D Pharmatech	19%	
6/1/2026	Weekly Asia Market Movers: Global Majors & Industry (01 Jun 2026)	3	PharmaEssentia	15%	
6/1/2026	Daily Market Movers: Global Majors & Industry (01 Jun 2026)	3	Edgewise Therapeutics	18%	
6/1/2026	Weekly Asia Market Movers: Global Majors & Industry (01 Jun 2026)	4	Fujitsu	10%	
6/1/2026	Weekly Asia Market Movers: Global Majors & Industry (01 Jun 2026)	5	HLB	9%	
6/1/2026	Weekly Asia Market Movers: Global Majors & Industry (01 Jun 2026)	6	Peptron	9%	
6/1/2026	Daily Market Movers: Global Majors & Industry (01 Jun 2026)	6	Humacyte	13%	
6/1/2026	Daily Market Movers: Global Majors & Industry (01 Jun 2026)	7	Philogen	10%	
6/1/2026	Weekly Asia Market Movers: Global Majors & Industry (01 Jun 2026)	7	L&amp;C BIO	8%	
6/1/2026	Weekly Asia Market Movers: Global Majors & Industry (01 Jun 2026)	8	Sunshine Guojian Pharmaceutical (Shanghai)	7%	
6/1/2026	Daily Market Movers: Global Majors & Industry (01 Jun 2026)	8	COMPASS Pathways	8%	
6/1/2026	Daily Market Movers: Global Majors & Industry (01 Jun 2026)	9	Fujitsu	8%	
6/1/2026	Weekly Asia Market Movers: Global Majors & Industry (01 Jun 2026)	9	OliX Pharmaceuticals	7%	
6/1/2026	Weekly Asia Market Movers: Global Majors & Industry (01 Jun 2026)	10	Denka Company	6%	
6/1/2026	Daily Market Movers: Global Majors & Industry (01 Jun 2026)	10	Erasca	8%	
6/2/2026	Daily Market Movers: Global Majors & Industry (02 Jun 2026)	1	Legend Biotech	42%	
6/2/2026	Daily Market Movers: Global Majors & Industry (02 Jun 2026)	3	Aclaris Therapeutics	7%	
6/2/2026	Daily Market Movers: Global Majors & Industry (02 Jun 2026)	4	Nanexa	6%	
6/2/2026	Daily Market Movers: Global Majors & Industry (02 Jun 2026)	5	Vericel	5%	
6/2/2026	Daily Market Movers: Global Majors & Industry (02 Jun 2026)	6	Wacker-Chemie	4%	
6/2/2026	Daily Market Movers: Global Majors & Industry (02 Jun 2026)	7	ASP Isotopes	4%	
6/2/2026	Daily Market Movers: Global Majors & Industry (02 Jun 2026)	8	10x Genomics	4%	
6/2/2026	Daily Market Movers: Global Majors & Industry (02 Jun 2026)	9	Iovance Biotherapeutics	4%	
6/3/2026	Daily Market Movers: Global Majors & Industry (03 June 2026)	1	Rezolute	14%	
6/3/2026	Daily Market Movers: Global Majors & Industry (03 June 2026)	3	Replimune	12%	
6/3/2026	Daily Market Movers: Global Majors & Industry (03 June 2026)	4	uniQure	11%	
6/3/2026	Daily Market Movers: Global Majors & Industry (03 June 2026)	5	Sutro Biopharma	11%	
6/3/2026	Daily Market Movers: Global Majors & Industry (03 June 2026)	6	Palvella Therapeutics	10%	
6/3/2026	Daily Market Movers: Global Majors & Industry (03 June 2026)	10	Praxis Precision Medicines	8%	
6/4/2026	Daily Market Movers: Global Majors & Industry (04th Jun 2026)	1	Indaptus Therapeutics	118%	
6/4/2026	Daily Market Movers: Global Majors & Industry (04th Jun 2026)	2	Health Catalyst	48%	
